CompanyName,Year Founded,Funding Year,Founded Imputed,Head Quarter,Industry In,AboutCompany,Founders,Investor,Amount in ($),Funding Round/Series
Notesgen,2018,2018,True,New Delhi,"EdTech, Education, Enterprise Software, Peer to Peer",A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,Unknown,Unknown,150000.0,Seed
Arogya MedTech,2018,2018,True,Kolkata,"Health Care, Medical",Arogya MedTech is a Research & Development organization in Bio-Medical industry.,Unknown,Unknown,180000.0,Seed
Propshop24,2018,2018,True,Mumbai,E-Commerce,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",Unknown,Unknown,500000.0,Seed
myUpchar,2018,2018,True,New Delhi,"Health Care, Hospital, Wellness",To bring health issues to people in their language.,Unknown,Unknown,5000000.0,Series A
MissMalini Entertainment,2018,2018,True,Mumbai,—,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",Unknown,Unknown,1248000.0,Seed
Rooter,2018,2018,True,India,Sports,Rooter is a mobile-based platform,Unknown,Unknown,540000.0,Seed
ZestMoney,2018,2018,True,Bengaluru,"Big Data, Consumer Lending, FinTech",Zest is India's first completely automated consumer digital lending platform.,Unknown,Unknown,13400000.0,Series A
MyDentistChoice,2018,2018,True,Hyderabad,"Health Care, Medical, Pharmaceutical",MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,Unknown,Unknown,500000.0,Seed
Sensibull,2018,2018,True,Bengaluru,Trading Platform,Investment Management Platform,Unknown,Unknown,300000.0,Seed
MedCords,2018,2018,True,Pune,Wellness,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,Unknown,Unknown,316800.0,Seed
Enakshi,2018,2018,True,Ahmedabad,Fashion,Enakshi is an online apparel brand for women.,Unknown,Unknown,96000.0,Seed
Ultraviolette Automotive,2018,2018,True,Bengaluru,"Automotive, Electric Vehicle, Energy Storage",Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,Unknown,Unknown,720.0,Series A
Inthree Access,2018,2018,True,Chennai,"Consulting, Retail, Social",Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,Unknown,Unknown,4000000.0,Series A
BUGWORKS Research India,2018,2018,True,Bengaluru,"Biotechnology, Life Science, Pharmaceutical, Product Research",BUGWORKS is a drug discovery company.,Unknown,Unknown,9000000.0,Series A
PrestLoans,2018,2018,True,New Delhi,"Credit, Financial Services, FinTech, Personal Finance","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",Unknown,Unknown,100000.0,Seed
