Founded_scaled,RoundSeries_scaled,Head Quarter,Industry In,AboutCompany,Amount in ($)
0.9180651885589024,0.6476616157943651,,,,
-0.15490523344274093,-0.21241634987467914,35,113,Personalised Video shoutouts from favourite celebrity.,400000.0
0.3815799775580807,-0.6424553327092013,4,105,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2000000.0
0.3815799775580807,-0.6424553327092013,,,,
0.9180651885589024,-0.6424553327092013,4,23,Ather Energy is a manufacturer of electric scooters.,35000000.0
0.11333737205766989,0.217622632959843,26,133,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",1500000.0
-0.4231478389431518,0.217622632959843,,,,
-0.4231478389431518,0.217622632959843,,,,
0.11333737205766989,-1.0724943155437234,10,105,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",75000000.0
0.3815799775580807,-0.21241634987467914,62,9,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",1000000.0
0.9180651885589024,-1.0724943155437234,,,,
0.6498225830584915,-0.6424553327092013,25,232,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,1000000.0
0.11333737205766989,0.217622632959843,,,,
-0.4231478389431518,-1.5025332983782456,35,124,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",6000000.0
0.9180651885589024,-0.6424553327092013,4,96,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,121000000.0
0.9180651885589024,-0.6424553327092013,35,280,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,5000000.0
-6.056242554451779,-1.5025332983782456,,,,
0.6498225830584915,-0.6424553327092013,4,123,Janani aims to make the process of infertility treatment and assisted fertilisation easier,200000.0
-0.15490523344274093,-0.6424553327092013,23,124,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",3300000.0
0.9180651885589024,-0.6424553327092013,4,96,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",11000000.0
-1.764360866445206,1.0777005986288872,35,76,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",5000000.0
-0.15490523344274093,0.217622632959843,4,116,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,5000000.0
-0.9596330499439735,1.5077395814634094,4,236,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,11000000.0
0.6498225830584915,-1.0724943155437234,23,13,Provider of marketing and warehousing services for agricultural commodities.,4000000.0
-1.2278756554443842,-0.21241634987467914,35,124,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,5000000.0
0.11333737205766989,0.217622632959843,4,270,Developer of a digital verification platform designed to manage the semi-formal workforce.,10000000.0
0.6498225830584915,-1.0724943155437234,,,,
-0.4231478389431518,0.217622632959843,35,284,InVideo enables you to transform your content into great videos.,15000000.0
-0.15490523344274093,1.5077395814634094,,,,
-2.3008460774460278,1.5077395814634094,51,269,World’s smartest virtual event platform that brings Experience & Intelligence together,4500000.0
0.11333737205766989,-1.5025332983782456,23,124,"A platform for automating home loans for middle and low-income households in India,",5000000.0
0.9180651885589024,-0.6424553327092013,35,76,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,2000000.0
0.11333737205766989,0.217622632959843,,,,
0.11333737205766989,0.217622632959843,34,209,Developer and manufacturer of medical devices,200000.0
0.3815799775580807,1.9377785642979315,43,159,"VitalTech is a develop technologies that empower patients to better care for their safety,",3000000.0
0.9180651885589024,-0.6424553327092013,4,23,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,4000000.0
0.6498225830584915,-0.6424553327092013,,,,
-1.4961182609447952,-1.5025332983782456,4,209,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",1500000.0
0.3815799775580807,2.3678175471324536,35,108,India's Activity Hub for Kids,200000.0
-0.15490523344274093,-1.5025332983782456,40,241,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,500000.0
0.6498225830584915,-0.6424553327092013,,,,
-1.2278756554443842,1.0777005986288872,,,,
0.3815799775580807,-0.21241634987467914,4,12,An agritech company that provides business to business (B2B) agricultural data,500000.0
0.11333737205766989,-0.21241634987467914,4,131,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,1100000.0
0.11333737205766989,0.6476616157943651,4,140,Provide quality and healthy food products,100000.0
0.11333737205766989,-0.21241634987467914,4,133,India's Finest Specialty Tea company.,900000.0
0.3815799775580807,0.217622632959843,,,,
0.11333737205766989,0.217622632959843,,,,
0.11333737205766989,-1.5025332983782456,39,124,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,4500000.0
0.6498225830584915,0.217622632959843,,,,
0.11333737205766989,-1.5025332983782456,,,,
-0.15490523344274093,-0.6424553327092013,34,136,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,5000000.0
-1.2278756554443842,1.0777005986288872,35,73,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,4200000.0
0.3815799775580807,0.217622632959843,,,,
-0.4231478389431518,0.6476616157943651,4,156,Acculi Labs is a clinical grade smartphone based diagnostic tool,600000.0
0.9180651885589024,-0.6424553327092013,40,13,A helping hand to the farming community through Artificial Intelligence,1700000.0
0.11333737205766989,0.217622632959843,12,108,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",1600000.0
0.3815799775580807,-0.21241634987467914,35,124,CreditWise Capital is a consumer finance company.,6000000.0
0.9180651885589024,-0.6424553327092013,50,241,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,55000000.0
-0.4231478389431518,1.9377785642979315,47,13,Ergos is building an integrated supply chain by setting up micro warehouses.,5000000.0
0.6498225830584915,-0.6424553327092013,,,,
-0.15490523344274093,-1.5025332983782456,28,5,Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,500000.0
0.9180651885589024,0.217622632959843,23,28,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,2000000.0
-0.4231478389431518,1.0777005986288872,4,53,To solve the urban waste problem by utilising local technologies and business models.,3000000.0
0.3815799775580807,-0.6424553327092013,34,193,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,1000000.0
-0.15490523344274093,-0.21241634987467914,51,241,Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,25000000.0
1.1863077940593132,-0.6424553327092013,37,96,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.",200000.0
0.11333737205766989,0.6476616157943651,49,269,"Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.",5000000.0
0.3815799775580807,-0.6424553327092013,35,105,Financepeer is an AI based peer to peer lending platform.,3000000.0
0.6498225830584915,-0.6424553327092013,23,96,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,10000000.0
0.3815799775580807,-0.6424553327092013,25,103,"Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT",3000000.0
-0.6913904444435626,1.5077395814634094,4,105,"Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.",2000000.0
0.9180651885589024,-0.6424553327092013,23,105,India's Only Business School That Offers MBA & PGDM Programs With 100% Placement Assurance.,3000000.0
-0.4231478389431518,0.6476616157943651,4,241,Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos,1500000.0
