CompanyName,Year Founded,Funding Year,Founded Imputed,Head Quarter,Industry In,AboutCompany,Founders,Investor,Amount in ($),Funding Round/Series
DigiConnectt Technologys,2018,2018,True,Bengaluru,"Information Services, Information Technology",A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,Unknown,Unknown,125000.0,Seed
Picxy,2018,2018,True,Guntur,Internet,"A stock photo startup based in Amravati, Andhra Pradesh.",Unknown,Unknown,130000.0,Seed
Huddle,2018,2018,True,Haryana,Consulting,A coworking incubator Company.,Unknown,Unknown,300000.0,Seed
Cash Suvidha,2018,2018,True,New Delhi,Finance,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,Unknown,Unknown,1000000.0,Seed
Tripeur,2018,2018,True,Bengaluru,Information Technology,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,Unknown,Unknown,600000.0,Seed
TrustCheckr,2018,2018,True,Bengaluru,Information Technology,A Bengaluru-based fraud analytics solution provider .,Unknown,Unknown,100000.0,Angel
Livehealth,2018,2018,True,Pune,"Health Care, Information Technology, Management Information Systems",Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,Unknown,Unknown,1100000.0,Seed
ORO Wealth,2018,2018,True,Mumbai,—,Online wealth management platform,Unknown,Unknown,1600000.0,Series A
HealWell24,2018,2018,True,Mumbai,"Dental, Elder Care, Health Care, Home Health Care, Personal Health","HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",Unknown,Unknown,200000.0,Seed
Earth Food,2018,2018,True,Pune,"Food and Beverage, Food Processing",Earth Food is a healthy Food Start Up.,Unknown,Unknown,768000.0,Seed
Square Off,2018,2018,True,Mumbai,"Internet of Things, Robotics",Delivering Imagination,Unknown,Unknown,1100000.0,Seed
Drivezy,2018,2018,True,Bengaluru,"Automotive, Rental, Sharing Economy",Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.,Unknown,Unknown,100000000.0,Debt Financing
Freyr Energy,2018,2018,True,Hyderabad,"Energy, Environmental Consulting, Renewable Energy, Solar","Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",Unknown,Unknown,1500000.0,Series A
Stelis Biopharma,2018,2018,True,Bengaluru,Biopharma,Stelis Biopharma is a vertically integrated biopharmaceutical company,Unknown,Unknown,100000000.0,Series B
CashRich,2018,2018,True,Mumbai,"Apps, Financial Services, FinTech",A Mumbai-based fin-tech startup,Unknown,Unknown,1000000.0,Seed
Royal Sundaram General Insurance Co. Limited,2018,2018,True,Kalpakkam,"Health Insurance, Insurance, Life Insurance","Royal Sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals, families and businesses.",Unknown,Unknown,210000000.0,Corporate Round
Spinny,2018,2018,True,Gurugram,"E-Commerce, E-Commerce Platforms, Internet, Retail",Used cars marketplace in India. Ushering new era of transparency and convenience.,Unknown,Unknown,11000000.0,Series A
WalMart India,2018,2018,True,Gurugram,Retail,"Wal-Mart India Private Limited is a wholly owned subsidiary of Walmart Stores Inc.,",Unknown,Unknown,37680000.0,Venture - Series Unknown
BIGPHI TECHNOLOGIES PVT. LTD.,2018,2018,True,Bengaluru,Fashion,BIGPHI technologies is the India's first technologically advanced apparel and wearable company.,Unknown,Unknown,900000.0,Angel
INDwealth,2018,2018,True,Gurugram,Financial Services,INDwealth is an Artificial Intelligence (AI) powered wealth management company,Unknown,Unknown,26400000.0,Seed
NIRA,2018,2018,True,Bengaluru,"Credit, Financial Services, FinTech, Lending","NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",Unknown,Unknown,1000000.0,Seed
Innov8 Coworking,2018,2018,True,New Delhi,"Collaboration, Communities, Coworking, Real Estate",Innov8 is a Y- Combinator backed company that offers coworking and shared office spaces.,Unknown,Unknown,4000000.0,Seed
Blackbuck,2018,2018,True,Bengaluru,"Information Services, Internet, Logistics, Supply Chain Management, Transportation",Blackbuck is a logistics startup based in India.,Unknown,Unknown,24355200.0,Series D
